,UID,VBAT,DID,YEAR,MON,DAY,HOUR,MIN,SEC,X,Y,Z,T,,,,,,,,,,,,,,,,2
0,1000101018,3570,0,19,9,30,13,0,0,-0.143372,-2.301086,87.689575,18.299999,,,,,,,,,,,,,,,,
1,1000101019,3576,0,19,9,30,13,0,0,-0.07196,-2.360413,87.642151,19.1,,,,,,,,,,,,,,,,
2,1000101020,3590,0,19,9,30,13,0,0,-0.095306,-2.246869,87.752205,18.6,,,,,,,,,,,,,,,,
3,1000101021,3590,0,19,9,30,13,0,0,-0.10403,-1.821017,88.174789,18.799999,,,,,,,,,,,,,,,,
4,1000101022,3570,0,19,9,30,13,0,0,-89.302368,-0.368042,0.571289,19,,,,,,,,,,,,,,,,
5,1000101023,3589,0,19,9,30,13,0,0,-88.816223,-1.179382,0.169189,19,,,,,,,,,,,,,,,,
6,1000101024,3646,0,19,9,30,13,0,0,-88.838737,-0.857703,0.801233,20.200001,,,,,,,,,,,,,,,,
7,1000101025,3610,0,19,9,30,13,0,0,-88.256889,-0.276053,1.719976,19,,,,,,,,,,,,,,,,
8,1000101026,3590,0,19,9,30,13,0,0,-88.899261,-0.539923,0.954822,19.299999,,,,,,,,,,,,,,,,
9,1000101018,3577,1,19,9,30,13,1,0,-0.141174,-2.311523,87.682434,18.200001,,,,,,,,,,,,,,,,
10,1000101019,3584,1,19,9,30,13,1,0,-0.069983,-2.359314,87.638947,19.1,,,,,,,,,,,,,,,,
11,1000101020,3597,1,19,9,30,13,1,0,-0.105414,-2.250439,87.745644,18.6,,,,,,,,,,,,,,,,
12,1000101021,3591,1,19,9,30,13,1,0,-0.106963,-1.821357,88.174652,18.700001,,,,,,,,,,,,,,,,
13,1000101022,3582,1,19,9,30,13,1,0,-89.329834,-0.368042,0.560303,18.9,,,,,,,,,,,,,,,,
14,1000101023,3599,1,19,9,30,13,1,0,-88.803589,-1.179932,0.137329,19,,,,,,,,,,,,,,,,
15,1000101024,3646,1,19,9,30,13,1,0,-88.832909,-0.855176,0.783325,20.200001,,,,,,,,,,,,,,,,
16,1000101025,3614,1,19,9,30,13,1,0,-88.258942,-0.274307,1.71802,19,,,,,,,,,,,,,,,,
17,1000101026,3594,1,19,9,30,13,1,0,-88.904327,-0.540088,0.960974,19.200001,,,,,,,,,,,,,,,,
18,1000101018,3580,2,19,9,30,13,2,0,-0.152161,-2.309875,87.682983,18.200001,,,,,,,,,,,,,,,,
19,1000101019,3585,2,19,9,30,13,2,0,-0.073389,-2.359204,87.638382,19.1,,,,,,,,,,,,,,,,
20,1000101020,3599,2,19,9,30,13,2,0,-0.097009,-2.252252,87.746979,18.6,,,,,,,,,,,,,,,,
21,1000101021,3591,2,19,9,30,13,2,0,-0.104293,-1.820259,88.174652,18.700001,,,,,,,,,,,,,,,,
22,1000101022,3585,2,19,9,30,13,2,0,-89.34082,-0.373535,0.55481,18.9,,,,,,,,,,,,,,,,
23,1000101023,3602,2,19,9,30,13,2,0,-88.813477,-1.182129,0.173584,19,,,,,,,,,,,,,,,,
24,1000101024,3644,2,19,9,30,13,2,0,-88.834679,-0.856604,0.78739,20.1,,,,,,,,,,,,,,,,
25,1000101025,3614,2,19,9,30,13,2,0,-88.257339,-0.272648,1.7188,18.9,,,,,,,,,,,,,,,,
26,1000101026,3596,2,19,9,30,13,2,0,-88.895935,-0.541132,0.965204,19.299999,,,,,,,,,,,,,,,,
27,1000101018,3581,3,19,9,30,13,3,0,-0.146667,-2.307129,87.686279,18.200001,,,,,,,,,,,,,,,,
28,1000101019,3587,3,19,9,30,13,3,0,-0.061414,-2.358875,87.639618,19.1,,,,,,,,,,,,,,,,
29,1000101020,3599,3,19,9,30,13,3,0,-0.101514,-2.250549,87.744186,18.6,,,,,,,,,,,,,,,,
30,1000101021,3590,3,19,9,30,13,3,0,-0.107655,-1.821379,88.173943,18.700001,,,,,,,,,,,,,,,,
31,1000101022,3585,3,19,9,30,13,3,0,-89.329834,-0.362549,0.565796,18.799999,,,,,,,,,,,,,,,,
32,1000101023,3606,3,19,9,30,13,3,0,-88.806885,-1.184326,0.169189,18.9,,,,,,,,,,,,,,,,
33,1000101024,3644,3,19,9,30,13,3,0,-88.83326,-0.860669,0.796399,20.1,,,,,,,,,,,,,,,,
34,1000101025,3611,3,19,9,30,13,3,0,-88.260834,-0.27401,1.717548,18.9,,,,,,,,,,,,,,,,
35,1000101026,3596,3,19,9,30,13,3,0,-88.894241,-0.542725,0.956799,19.200001,,,,,,,,,,,,,,,,
36,1000101018,3580,4,19,9,30,13,4,0,-0.135681,-2.30658,87.692871,18.200001,,,,,,,,,,,,,,,,
37,1000101019,3586,4,19,9,30,13,4,0,-0.059985,-2.358655,87.637932,19.1,,,,,,,,,,,,,,,,
38,1000101020,3599,4,19,9,30,13,4,0,-0.103931,-2.251593,87.748123,18.6,,,,,,,,,,,,,,,,
39,1000101021,3589,4,19,9,30,13,4,0,-0.106205,-1.819995,88.175285,18.700001,,,,,,,,,,,,,,,,
40,1000101022,3585,4,19,9,30,13,4,0,-89.324341,-0.373535,0.565796,18.799999,,,,,,,,,,,,,,,,
41,1000101023,3605,4,19,9,30,13,4,0,-88.805237,-1.175537,0.153809,18.9,,,,,,,,,,,,,,,,
42,1000101024,3643,4,19,9,30,13,4,0,-88.836433,-0.857263,0.793323,20.1,,,,,,,,,,,,,,,,
43,1000101025,3611,4,19,9,30,13,4,0,-88.258575,-0.272307,1.714856,19,,,,,,,,,,,,,,,,
44,1000101026,3597,4,19,9,30,13,4,0,-88.891396,-0.54245,0.961194,19.200001,,,,,,,,,,,,,,,,
45,1000101018,3581,5,19,9,30,13,5,0,-0.150513,-2.314819,87.68573,18.200001,,,,,,,,,,,,,,,,
46,1000101019,3585,5,19,9,30,13,5,0,-0.075696,-2.360632,87.638359,19.1,,,,,,,,,,,,,,,,
47,1000101020,3599,5,19,9,30,13,5,0,-0.097888,-2.255164,87.746696,18.5,,,,,,,,,,,,,,,,
48,1000101021,3589,5,19,9,30,13,5,0,-0.105018,-1.82161,88.17514,18.6,,,,,,,,,,,,,,,,
49,1000101022,3585,5,19,9,30,13,5,0,-89.351807,-0.351562,0.543823,18.799999,,,,,,,,,,,,,,,,
50,1000101023,3605,5,19,9,30,13,5,0,-88.814575,-1.172241,0.159851,18.9,,,,,,,,,,,,,,,,
51,1000101024,3644,5,19,9,30,13,5,0,-88.824562,-0.864294,0.786182,20.1,,,,,,,,,,,,,,,,
52,1000101025,3610,5,19,9,30,13,5,0,-88.260544,-0.275548,1.717185,18.9,,,,,,,,,,,,,,,,
53,1000101026,3599,5,19,9,30,13,5,0,-88.895958,-0.544537,0.961139,19.1,,,,,,,,,,,,,,,,
54,1000101018,3581,6,19,9,30,13,6,0,-0.142822,-2.307129,87.687378,18.200001,,,,,,,,,,,,,,,,
55,1000101019,3585,6,19,9,30,13,6,0,-0.061853,-2.355798,87.64138,19.1,,,,,,,,,,,,,,,,
56,1000101020,3597,6,19,9,30,13,6,0,-0.106787,-2.251758,87.746269,18.5,,,,,,,,,,,,,,,,
57,1000101021,3586,6,19,9,30,13,6,0,-0.104843,-1.820347,88.175781,18.6,,,,,,,,,,,,,,,,
58,1000101022,3586,6,19,9,30,13,6,0,-89.329834,-0.373535,0.55481,18.799999,,,,,,,,,,,,,,,,
59,1000101023,3605,6,19,9,30,13,6,0,-88.804688,-1.177185,0.162048,18.9,,,,,,,,,,,,,,,,
60,1000101024,3642,6,19,9,30,13,6,0,-88.834251,-0.854626,0.797827,20,,,,,,,,,,,,,,,,
61,1000101025,3611,6,19,9,30,13,6,0,-88.260712,-0.27557,1.717987,18.9,,,,,,,,,,,,,,,,
62,1000101026,3596,6,19,9,30,13,6,0,-88.893906,-0.544428,0.960095,19.200001,,,,,,,,,,,,,,,,
63,1000101018,3581,7,19,9,30,13,7,0,-0.142822,-2.307129,87.686279,18.200001,,,,,,,,,,,,,,,,
64,1000101019,3586,7,19,9,30,13,7,0,-0.074597,-2.357666,87.641678,19,,,,,,,,,,,,,,,,
65,1000101020,3597,7,19,9,30,13,7,0,-0.103711,-2.254999,87.743195,18.5,,,,,,,,,,,,,,,,
66,1000101021,3585,7,19,9,30,13,7,0,-0.10615,-1.820336,88.176086,18.700001,,,,,,,,,,,,,,,,
67,1000101022,3585,7,19,9,30,13,7,0,-89.324341,-0.362549,0.571289,18.700001,,,,,,,,,,,,,,,,
68,1000101023,3606,7,19,9,30,13,7,0,-88.820068,-1.182678,0.154907,18.9,,,,,,,,,,,,,,,,
69,1000101024,3642,7,19,9,30,13,7,0,-88.83403,-0.855286,0.790356,20,,,,,,,,,,,,,,,,
70,1000101025,3609,7,19,9,30,13,7,0,-88.261368,-0.275427,1.719382,18.9,,,,,,,,,,,,,,,,
71,1000101026,3596,7,19,9,30,13,7,0,-88.896545,-0.54223,0.962238,19.1,,,,,,,,,,,,,,,,
72,1000101018,3581,8,19,9,30,13,8,0,-0.142822,-2.307129,87.689026,18.200001,,,,,,,,,,,,,,,,
73,1000101019,3585,8,19,9,30,13,8,0,-0.059436,-2.360742,87.641365,19.1,,,,,,,,,,,,,,,,
74,1000101020,3596,8,19,9,30,13,8,0,-0.103162,-2.251483,87.747589,18.5,,,,,,,,,,,,,,,,
75,1000101021,3584,8,19,9,30,13,8,0,-0.107578,-1.819995,88.175873,18.6,,,,,,,,,,,,,,,,
76,1000101022,3586,8,19,9,30,13,8,0,-89.329834,-0.368042,0.55481,18.700001,,,,,,,,,,,,,,,,
77,1000101023,3606,8,19,9,30,13,8,0,-88.820618,-1.189819,0.17688,18.9,,,,,,,,,,,,,,,,
