No,UID,X,Y,Z,Angle,DiffX,DiffY,DiffZ,Angle,,
753,1000101026,-86.482796,-3.384119,0.982123,,,,,,1.07101152,-5.355057601
763,1000101026,-87.017166,-2.822662,0.985309,0.53437,-0.53437,0.561457,0.003186,1.07101152,YES,-4.284046081
773,1000101026,-87.018417,-2.823102,0.973444,0.001251,-0.001251,-0.00044,-0.011865,0,FALSE,-4.284046081
783,1000101026,-87.01873,-2.819257,0.977893,0.000313,-0.000313,0.003845,0.004449,0,FALSE,-4.284046081
793,1000101026,-87.539841,-2.251758,0.977289,0.521111,-0.521111,0.567499,-0.000604,1.07101152,YES,-3.21303456
803,1000101026,-87.542542,-2.253351,0.981079,0.002701,-0.002701,-0.001593,0.00379,0,FALSE,-3.21303456
813,1000101026,-87.545609,-2.260382,0.979047,0.003067,-0.003067,-0.007031,-0.002032,0,FALSE,-3.21303456
823,1000101026,-88.04538,-1.692609,0.979431,0.499771,-0.499771,0.567773,0.000384,1.07101152,YES,-2.14202304
833,1000101026,-88.05027,-1.685962,0.980255,0.00489,-0.00489,0.006647,0.000824,0,FALSE,-2.14202304
843,1000101026,-88.054726,-1.684808,0.983936,0.004456,-0.004456,0.001154,0.003681,0,FALSE,-2.14202304
853,1000101026,-88.511757,-1.116596,0.985803,0.457031,-0.457031,0.568212,0.001867,1.07101152,YES,-1.07101152
863,1000101026,-88.878197,-0.547504,0.985748,0.36644,-0.36644,0.569092,-5.5E-05,1.07101152,YES,0
873,1000101026,-88.876427,-0.547174,0.98443,0.00177,0.00177,0.00033,-0.001318,0,FALSE,0
883,1000101026,-88.878342,-0.541187,0.985309,0.001915,-0.001915,0.005987,0.000879,0,FALSE,0
893,1000101026,-89.012482,0.037408,0.98454,0.13414,-0.13414,0.578595,-0.000769,1.07101152,YES,1.07101152
903,1000101026,-89.019524,0.033014,0.984705,0.007042,-0.007042,-0.004394,0.000165,0,FALSE,1.07101152
913,1000101026,-89.015549,0.030597,0.984595,0.003975,0.003975,-0.002417,-0.00011,0,FALSE,1.07101152
924,1000101026,-88.833923,0.612653,0.990253,0.181626,0.181626,0.582056,0.005658,1.07101152,YES,2.14202304
934,1000101026,-88.837746,0.61062,0.986078,0.003823,-0.003823,-0.002033,-0.004175,0,FALSE,2.14202304
944,1000101026,-88.447433,1.193994,0.993658,0.390313,0.390313,0.583374,0.00758,1.07101152,YES,3.21303456
954,1000101026,-88.451286,1.195917,0.988495,0.003853,-0.003853,0.001923,-0.005163,0,FALSE,3.21303456
964,1000101026,-88.450607,1.1935,0.990198,0.000679,0.000679,-0.002417,0.001703,0,FALSE,3.21303456
