No,UID,X,Y,Z
0,1000101018,-0.143372,-2.301086,87.689575
1,1000101019,-0.07196,-2.360413,87.642151
2,1000101020,-0.095306,-2.246869,87.752205
3,1000101021,-0.10403,-1.821017,88.174789
4,1000101022,-89.302368,-0.368042,0.571289
5,1000101023,-88.816223,-1.179382,0.169189
6,1000101024,-88.838737,-0.857703,0.801233
7,1000101025,-88.256889,-0.276053,1.719976
8,1000101026,-88.899261,-0.539923,0.954822
9,1000101018,-0.141174,-2.311523,87.682434
10,1000101019,-0.069983,-2.359314,87.638947
11,1000101020,-0.105414,-2.250439,87.745644
12,1000101021,-0.106963,-1.821357,88.174652
13,1000101022,-89.329834,-0.368042,0.560303
14,1000101023,-88.803589,-1.179932,0.137329
15,1000101024,-88.832909,-0.855176,0.783325
16,1000101025,-88.258942,-0.274307,1.71802
17,1000101026,-88.904327,-0.540088,0.960974
18,1000101018,-0.152161,-2.309875,87.682983
19,1000101019,-0.073389,-2.359204,87.638382
20,1000101020,-0.097009,-2.252252,87.746979
21,1000101021,-0.104293,-1.820259,88.174652
22,1000101022,-89.34082,-0.373535,0.55481
23,1000101023,-88.813477,-1.182129,0.173584
24,1000101024,-88.834679,-0.856604,0.78739
25,1000101025,-88.257339,-0.272648,1.7188
26,1000101026,-88.895935,-0.541132,0.965204
27,1000101018,-0.146667,-2.307129,87.686279
28,1000101019,-0.061414,-2.358875,87.639618
29,1000101020,-0.101514,-2.250549,87.744186
30,1000101021,-0.107655,-1.821379,88.173943
31,1000101022,-89.329834,-0.362549,0.565796
32,1000101023,-88.806885,-1.184326,0.169189
33,1000101024,-88.83326,-0.860669,0.796399
34,1000101025,-88.260834,-0.27401,1.717548
35,1000101026,-88.894241,-0.542725,0.956799
36,1000101018,-0.135681,-2.30658,87.692871
37,1000101019,-0.059985,-2.358655,87.637932
38,1000101020,-0.103931,-2.251593,87.748123
39,1000101021,-0.106205,-1.819995,88.175285
40,1000101022,-89.324341,-0.373535,0.565796
41,1000101023,-88.805237,-1.175537,0.153809
42,1000101024,-88.836433,-0.857263,0.793323
43,1000101025,-88.258575,-0.272307,1.714856
44,1000101026,-88.891396,-0.54245,0.961194
45,1000101018,-0.150513,-2.314819,87.68573
46,1000101019,-0.075696,-2.360632,87.638359
47,1000101020,-0.097888,-2.255164,87.746696
48,1000101021,-0.105018,-1.82161,88.17514
49,1000101022,-89.351807,-0.351562,0.543823
