DateTime,UID,V,X,Y,Z,T
20/3/29 17:15:0,4,3488,14.407072,25.169739,-60.479576,16.299999
20/3/29 17:20:0,4,3479,14.405338,25.173943,-60.477489,15.9
20/3/29 17:25:0,4,3482,14.408262,25.174061,-60.474979,16.1
20/3/29 17:30:0,4,3479,14.400457,25.181614,-60.470943,16
20/3/25 8:50:0,1000101015,3607,-1.964097,-1.677892,87.418655,21.1
20/3/25 8:51:0,1000101015,3606,-1.056577,6.215446,83.695763,21.1
20/3/25 8:52:0,1000101015,3607,-1.054561,6.233236,83.676628,21.299999
20/3/25 8:53:0,1000101015,3606,-1.06023,6.222938,83.6894,21.4
20/3/25 8:54:0,1000101015,3606,-1.056209,6.207938,83.671417,21.4
20/3/25 8:55:0,1000101015,3607,-1.04976,6.183529,83.725327,21.6
20/3/25 8:56:0,1000101015,3606,-1.049321,6.213701,83.699486,21.6
20/3/25 8:57:0,1000101015,3605,-1.171511,-2.395441,87.332527,21.700001
20/3/25 8:58:0,1000101015,3606,-1.168011,-2.397501,87.330551,21.700001
20/3/25 8:59:0,1000101015,3606,-1.165226,-2.3967,87.245476,21.799999
20/3/25 9:0:0,1000101015,3607,-1.168528,-2.392834,87.321999,21.9
20/3/25 9:1:0,1000101015,3606,-1.049711,6.217472,83.699425,21.9
20/3/25 9:2:0,1000101015,3607,-1.052073,6.217558,83.698799,22
20/3/25 9:3:0,1000101015,3606,-0.0034,6.890244,83.114037,22.1
20/3/25 9:4:0,1000101015,3606,-0.005592,6.889649,83.115097,22.1
20/3/25 9:5:0,1000101015,3606,0.002813,6.871236,83.106873,22.200001
20/3/25 9:6:0,1000101015,3607,0.004988,6.871603,83.114632,22.299999
20/3/25 9:7:0,1000101015,3605,-0.002796,6.882338,83.121086,22.299999
20/3/25 9:8:0,1000101015,3606,0.007718,6.866076,83.120239,22.299999
20/3/25 9:9:0,1000101015,3606,0.00351,6.8634,83.118904,22.4
20/3/25 9:10:0,1000101015,3607,-0.051328,6.888651,83.109329,22.5
20/3/25 9:11:0,1000101015,3607,0.025609,6.875388,83.12513,22.5
20/3/25 9:12:0,1000101015,3607,-0.003571,6.883866,83.120316,22.6
20/3/25 9:13:0,1000101015,3606,8.826768,7.044438,78.666878,22.6
20/3/25 9:14:0,1000101015,3607,8.843487,7.048762,78.653778,22.6
20/3/25 9:15:0,1000101015,3607,8.808467,7.042811,78.672287,22.700001
20/3/25 9:16:0,1000101015,3607,8.824355,7.029394,78.661072,22.700001
20/3/25 9:17:0,1000101015,3607,8.818259,7.046627,78.668915,22.799999
20/3/25 9:18:0,1000101015,3607,-0.811187,6.182103,83.763786,22.799999
20/3/25 9:19:0,1000101015,3609,-0.988967,6.151119,83.770561,22.9
20/3/25 9:20:0,1000101015,3606,-0.985089,6.141988,83.780525,22.9
20/3/25 9:21:0,1000101015,3607,-0.003647,6.913492,83.083443,23
20/3/25 9:22:0,1000101015,3607,-0.004048,6.912348,83.08728,23.1
20/3/25 9:23:0,1000101015,3609,-0.024615,6.921441,83.077362,23.200001
20/3/25 9:24:0,1000101015,3610,-0.016117,6.92098,83.076706,23.299999
20/3/25 9:25:0,1000101015,3609,3.461506,7.010604,83.029327,23.4
20/3/25 9:26:0,1000101015,3609,-0.007679,6.92644,83.076408,23.4
20/3/25 9:27:0,1000101015,3609,-0.003587,6.924939,83.076195,23.5
20/3/25 9:28:0,1000101015,3610,-0.02339,6.906774,83.048882,23.5
20/3/25 9:29:0,1000101015,3609,-0.025785,6.91865,83.079834,23.6
20/3/25 9:30:0,1000101015,3610,-0.023676,6.925146,83.078377,23.6
20/3/25 9:31:0,1000101015,3610,-0.028564,6.923854,83.077171,23.6
20/3/25 9:32:0,1000101015,3610,-0.02874,6.918218,83.090294,23.700001
20/3/25 9:33:0,1000101015,3610,-0.037716,6.91814,83.078209,23.700001
20/3/25 9:34:0,1000101015,3610,-0.030992,6.918454,83.080605,23.700001
20/3/25 9:35:0,1000101015,3611,-0.007306,6.920406,83.079132,23.700001
20/3/25 9:36:0,1000101015,3611,-0.049554,6.921935,83.077484,23.799999
20/3/25 9:37:0,1000101015,3611,0.042517,6.938619,83.060425,23.799999
20/3/25 9:38:0,1000101015,3611,-0.023291,6.946524,83.053688,23.799999
20/3/25 9:39:0,1000101015,3611,-0.024033,6.946406,83.053009,23.799999
20/3/25 9:40:0,1000101015,3614,-0.024538,6.948345,83.052048,23.799999
20/3/25 9:41:0,1000101015,3611,-0.031366,6.94862,83.052559,23.799999
20/3/25 9:42:0,1000101015,3611,-0.027916,6.946663,83.053253,23.799999
20/3/25 9:43:0,1000101015,3611,-0.034514,6.947875,83.052505,23.9
20/3/25 9:44:0,1000101015,3614,-0.033497,6.947786,83.051376,23.9
20/3/25 9:45:0,1000101015,3611,-0.029306,6.947043,83.052299,23.9
20/3/25 9:46:0,1000101015,3611,-0.028411,6.948107,83.051445,23.9
20/3/25 9:47:0,1000101015,3614,-0.039578,6.948074,83.052261,23.9
20/3/25 9:48:0,1000101015,3611,-0.038919,6.947172,83.052368,23.9
20/3/25 9:49:0,1000101015,3615,-0.033069,6.946486,83.052834,24
20/3/25 9:50:0,1000101015,3615,-0.039672,6.94759,83.05072,24
20/3/25 9:51:0,1000101015,3614,-0.042374,6.948007,83.051842,24
20/3/25 9:52:0,1000101015,3614,-0.031674,6.945793,83.052216,24
20/3/25 9:53:0,1000101015,3614,-0.034217,6.945138,83.053162,24
20/3/25 9:54:0,1000101015,3615,-0.042946,6.94827,83.051697,24
20/3/25 9:55:0,1000101015,3615,-0.035458,6.946103,83.053696,24
20/3/25 9:56:0,1000101015,3614,-0.040254,6.944379,83.053772,24
20/3/25 9:57:0,1000101015,3614,-0.033475,6.945137,83.054581,24
20/3/25 9:58:0,1000101015,3615,-0.036052,6.945647,83.05629,24.1
20/3/25 9:59:0,1000101015,3614,-0.043945,6.945418,83.053673,24
20/3/25 10:0:0,1000101015,3614,-0.043577,6.945603,83.054207,24
20/3/25 10:1:0,1000101015,3615,-0.038084,6.944598,83.055153,24.1
20/3/25 10:2:0,1000101015,3615,-0.04623,6.947026,83.053787,24.1
20/3/25 10:3:0,1000101015,3615,-0.044764,6.945075,83.054382,24.1
20/3/25 10:4:0,1000101015,3615,-0.044352,6.945564,83.054893,24.1
20/3/25 10:5:0,1000101015,3615,-0.03965,6.944236,83.055328,24.1
20/3/25 10:6:0,1000101015,3616,-0.039941,6.944708,83.054947,24.1
20/3/25 10:7:0,1000101015,3615,-0.045071,6.946966,83.054054,24
20/3/25 10:8:0,1000101015,3616,-0.045439,6.944409,83.054611,24
20/3/25 10:9:0,1000101015,3615,-0.048203,6.944952,83.054039,24
20/3/25 10:10:0,1000101015,3616,-0.046208,6.944674,83.054329,24
20/3/25 10:11:0,1000101015,3616,-0.03798,6.944603,83.053467,24.1
20/3/25 10:12:0,1000101015,3615,-0.046538,6.945086,83.054314,24.1
20/3/25 10:13:0,1000101015,3615,-0.042402,6.944164,83.055595,24.1
20/3/25 10:14:0,1000101015,3616,-0.040677,6.943846,83.055344,24.1
20/3/25 10:15:0,1000101015,3615,-0.04183,6.941212,83.057343,24.1
20/3/25 10:16:0,1000101015,3616,-0.036601,6.941762,83.056244,24.200001
20/3/25 10:17:0,1000101015,3615,-0.047433,6.942376,83.055565,24.200001
20/3/25 10:18:0,1000101015,3615,-0.039183,6.939404,83.058632,24.299999
20/3/25 10:19:0,1000101015,3616,-0.037848,6.938698,83.061935,24.4
20/3/25 10:20:0,1000101015,3615,-0.042034,6.937259,83.061897,24.4
20/3/29 16:15:0,5,3512,20.541462,-3.820018,-69.05204,22.1
20/3/29 16:20:0,5,3509,19.700695,2.24695,-68.745888,22.1
20/3/29 16:25:0,5,3506,18.743027,8.140381,-69.443985,20.5
20/3/29 16:30:0,5,3506,18.826536,8.211679,-69.332947,16.6
20/3/29 16:35:0,5,3500,18.84384,8.221341,-69.312065,15.9
20/3/29 16:40:0,5,3494,18.863258,8.220278,-69.29351,15.4
20/3/29 16:45:0,5,3494,18.872004,8.216396,-69.289093,15.6
20/3/29 16:50:0,5,3491,18.879543,8.211302,-69.285637,15.3
20/3/29 16:55:0,5,3488,18.881605,8.20923,-69.28389,15
20/3/29 17:0:0,5,3486,18.886333,8.20326,-69.282051,15
20/3/29 17:5:0,5,3482,18.88768,8.195988,-69.283852,15.1
20/3/29 17:10:0,5,3482,18.87944,8.188211,-69.293884,15.5
20/3/29 17:15:0,5,3480,18.875784,8.186561,-69.297913,15.4
20/3/29 17:20:0,5,3479,18.879171,8.183847,-69.295052,15.3
20/3/29 17:25:0,5,3477,18.885344,8.181824,-69.289322,15.3
20/3/29 17:30:0,5,3479,18.88308,8.183231,-69.29126,15.3
20/3/29 17:35:0,5,3476,18.889009,8.181228,-69.287346,15.3
20/3/29 17:40:0,5,3476,18.889881,8.180649,-69.286812,15.3
20/3/29 17:45:0,5,3474,18.893873,8.180334,-69.284401,15.2
20/3/29 17:50:0,5,3476,18.896017,8.17741,-69.28476,15
20/3/29 17:55:0,5,3474,18.892282,8.178705,-69.28656,15
20/3/29 18:0:0,5,3474,18.893175,8.178667,-69.285934,14.9
20/3/29 18:5:0,5,3479,18.900356,8.177752,-69.279984,15.1
20/3/29 18:10:0,5,3476,18.89538,8.177475,-69.284927,15
20/3/29 18:15:0,5,3473,18.904963,8.171162,-69.277687,14.8
20/3/29 18:20:0,5,3476,18.904348,8.170396,-69.279587,14.9
20/3/29 18:25:0,5,3471,18.906712,8.167199,-69.277985,14.8
20/3/29 18:30:0,5,3474,18.902044,8.169283,-69.282242,14.8
20/3/29 18:35:0,5,3474,18.908142,8.168486,-69.276337,14.8
20/3/29 18:40:0,5,3471,18.902119,8.16843,-69.282631,14.8
20/3/29 18:45:0,5,3474,18.724028,8.131315,-69.51516,15
20/3/29 18:50:0,5,3473,18.716616,8.228617,-69.427765,15
20/3/29 18:55:0,5,3471,18.722933,8.242344,-69.415993,14.8
20/3/29 19:0:0,5,3473,18.726971,8.247449,-69.410858,14.7
20/3/29 19:5:0,5,3471,18.726763,8.253853,-69.409348,14.6
20/3/29 16:40:0,6,3514,20.717211,64.607452,-14.018074,15.4
20/3/29 16:45:0,6,3509,20.730202,64.595123,-14.023927,15.7
20/3/29 16:50:0,6,3508,20.7169,64.602486,-14.027389,15.4
20/3/29 16:55:0,6,3501,20.712645,64.603706,-14.030783,15.2
20/3/29 17:0:0,6,3500,20.721613,64.600433,-14.023661,15.2
20/3/29 17:5:0,6,3500,20.717201,64.60421,-14.023839,15.2
20/3/29 17:10:0,6,3494,20.703543,64.604256,-14.044282,15.4
20/3/29 17:15:0,6,3495,20.706461,64.596947,-14.05328,15.4
20/3/29 17:20:0,6,3497,20.712658,64.58989,-14.053817,15.3
20/3/29 17:25:0,6,3492,20.716492,64.582062,-14.059254,15.2
20/3/29 17:30:0,6,3495,20.711624,64.591148,-14.053423,15.1
