Orientation,Deg,Reading ID,X,Y,Z
A parallel to plate,0,758,-0.2749,-88.65535,-1.323193
A parallel to plate,10,769,-0.270011,-88.654945,-1.319502
A parallel to plate,20,779,-0.275339,-88.653976,-1.318656
A parallel to plate,30,786,-0.272538,-88.657326,-1.321139
A parallel to plate,40,795,-0.27457,-88.657898,-1.321963
A parallel to plate,50,801,0.110852,-0.73682,89.255341
A parallel to plate,60,807,0.108951,-0.739775,89.251709
A parallel to plate,70,813,0.105535,-0.738798,89.253716
A parallel to plate,80,819,0.109391,-0.741017,89.253105
A parallel to plate,90,829,0.108391,-0.738127,89.253662
A parallel to plate,100,836,0.107303,-0.7396,89.25396
A parallel to plate,110,842,0.109523,-0.738743,89.254364
A parallel to plate,120,848,0.108171,-0.738644,89.252823
A parallel to plate,130,855,0.109973,-0.737842,89.253632
A parallel to plate,140,862,0.108512,-0.736688,89.253838
A parallel to plate,150,869,0.107952,-0.737798,89.255486
A parallel to plate,160,884,0.106479,-0.736205,89.254601
A parallel to plate,170,891,0.109303,-0.735908,89.253151
A parallel to plate,180,897,0.109424,-0.737633,89.255211
A parallel to plate,190,904,0.105337,-0.738226,89.255409
A parallel to plate,200,912,0.109116,-0.736644,89.252571
A parallel to plate,210,919,0.108864,-0.74038,89.258636
A parallel to plate,220,926,0.10927,-0.736721,89.255119
A parallel to plate,230,932,0.104348,-0.736765,89.255005
A parallel to plate,240,938,0.110435,-0.737985,89.25589
A parallel to plate,250,945,0.10693,-0.737743,89.255508
A parallel to plate,260,951,-0.402935,-0.810341,89.099159
A parallel to plate,270,959,0.115642,-0.781952,89.195908
A parallel to plate,280,966,-19.952059,-0.762056,70.030563
A parallel to plate,290,972,-37.967289,-0.693556,51.264
A parallel to plate,300,979,-50.040985,-0.630648,39.937675
A parallel to plate,310,985,-69.944107,-0.492506,19.919207
A parallel to plate,320,992,-80.692955,-0.391652,6.928466
A parallel to plate,330,998,-80.421852,-0.241688,-10.163702
A parallel to plate,340,1006,-72.203148,-0.173661,-18.510813
A parallel to plate,350,1015,-59.987404,-0.084836,-30.021057
A parallel to plate,360,1021,-39.243851,0.04834,-50.17524
A Parallel Return,360,1256,-39.243851,0.04834,-50.17524
A Parallel Return,330,1266,-80.421852,-0.241688,-10.163702
A Parallel Return,300,1283,-50.040985,-0.630648,39.937675
A Parallel Return,270,1297,0.115642,-0.781952,89.195908
A Parallel Return,240,1308,0.110435,-0.737985,89.25589
A Parallel Return,210,1316,0.108864,-0.74038,89.258636
A Parallel Return,180,1329,0.109424,-0.737633,89.255211
A Parallel Return,150,1337,0.107952,-0.737798,89.255486
A Parallel Return,120,1355,0.108171,-0.738644,89.252823
A Parallel Return,90,1364,0.108391,-0.738127,89.253662
A Parallel Return,60,1371,0.108951,-0.739775,89.251709
A Parallel Return,30,1379,-0.272538,-88.657326,-1.321139
A Parallel Return,0,1386,-0.2749,-88.65535,-1.323193
