Orientation,Deg,Reading ID,X,Y,Z
22 into,0,165,13.686091,-9.395837,73.950157
22 into,30,170,0.252235,-0.740435,89.217201
22 into,60,177,0.255125,-0.73726,89.218956
22 into,90,186,0.253477,-0.737446,89.217781
22 into,120,193,0.250796,-0.739567,89.219803
22 into,150,202,0.254773,-0.737029,89.219208
22 into,180,212,-65.090149,-0.364548,19.848343
22 into,210,219,-0.538429,-0.184724,-89.4356
22 into,240,227,60.548607,-0.779502,29.435301
22 into,270,234,0.23736,-0.036552,86.644493
22 into,300,241,0.071895,59.682926,-30.315193
22 into,330,247,-0.766143,-59.729385,-30.266575
22 into,360,254,0.234108,-0.726141,89.23999
