Orientation,Deg,Reading ID,X,Y,Z
22 parallel,0,267,13.686091,-9.395837,73.950157
22 parallel,30,275,0.252235,-0.740435,89.217201
22 parallel,60,284,0.255125,-0.73726,89.218956
22 parallel,90,291,0.253477,-0.737446,89.217781
22 parallel,120,300,0.250796,-0.739567,89.219803
22 parallel,150,306,0.254773,-0.737029,89.219208
22 parallel,180,313,-65.090149,-0.364548,19.848343
22 parallel,210,323,-0.538429,-0.184724,-89.4356
22 parallel,240,328,60.548607,-0.779502,29.435301
22 parallel,270,334,0.23736,-0.036552,86.644493
22 parallel,300,341,0.071895,59.682926,-30.315193
22 parallel,330,348,-0.766143,-59.729385,-30.266575
22 parallel,360,356,0.234108,-0.726141,89.23999
