Orientation,Deg,Reading ID,X,Y,Z
22 into,0,165,0.254564,-0.737644,89.219681
22 into,30,170,-29.877285,-0.596151,60.117207
22 into,60,177,-59.925667,-0.416602,30.071844
22 into,90,186,-89.750305,-0.240502,0.07608
22 into,120,193,-60.178673,-0.129792,-29.829458
22 into,150,202,-30.371822,-0.109039,-59.634071
22 into,180,212,-0.538462,-0.183054,-89.43821
22 into,210,219,29.374777,-0.332985,-60.623444
22 into,240,227,59.33345,-0.511952,-30.662416
22 into,270,234,89.070419,-0.673923,-0.641118
22 into,300,241,60.544636,-0.780359,29.438692
22 into,330,247,30.424713,-0.804771,59.559292
22 into,360,254,0.254586,-0.736062,89.221161
