Orientation,Deg,Reading ID,X,Y,Z
22 parallel,0,267,0.234053,-0.726427,89.236267
22 parallel,30,275,0.438333,29.445957,60.546169
22 parallel,60,284,0.473093,59.710476,30.276426
22 parallel,90,291,0.33349,89.655342,-0.06795
22 parallel,120,300,0.071895,59.682926,-30.315193
22 parallel,150,306,-0.236019,29.678108,-60.321514
22 parallel,180,313,-0.515555,-0.192393,-89.454758
22 parallel,210,323,-0.708102,-29.990313,-60.002594
22 parallel,240,328,-0.768812,-59.723103,-30.27219
22 parallel,270,334,-0.662564,-89.176826,-0.495176
22 parallel,300,341,-0.414459,-60.669601,29.325865
22 parallel,330,348,-0.081815,-30.771795,59.228638
22 parallel,360,356,0.237019,-0.72557,89.238037
