Orientation,Deg,Reading ID,X,Y,Z
22 skewed,0,377,0.659388,-0.791862,88.968948
22 skewed,30,392,8.566517,28.107388,60.371758
22 skewed,60,398,14.246807,56.012882,30.126047
22 skewed,90,406,16.010635,73.978317,-0.223374
22 skewed,120,411,13.294666,56.16061,-30.477331
22 skewed,150,418,6.905388,28.01737,-60.998833
22 skewed,180,424,-0.988187,-0.126057,-89.010834
22 skewed,210,436,-8.850572,-29.119062,-59.316746
22 skewed,240,442,-14.268818,-56.043625,-30.089764
22 skewed,270,450,-16.044243,-73.956108,-0.334797
22 skewed,300,458,-13.490151,-57.010906,29.471037
22 skewed,330,465,-7.358006,-29.55637,59.361813
22 skewed,360,470,0.67511,-0.809407,88.94635
