Orientation,Deg,Reading ID,X,Y,Z
22 skewed,0,377,13.686091,-9.395837,73.950157
22 skewed,30,392,0.252235,-0.740435,89.217201
22 skewed,60,398,0.255125,-0.73726,89.218956
22 skewed,90,406,0.253477,-0.737446,89.217781
22 skewed,120,411,0.250796,-0.739567,89.219803
22 skewed,150,418,0.254773,-0.737029,89.219208
22 skewed,180,424,-65.090149,-0.364548,19.848343
22 skewed,210,436,-0.538429,-0.184724,-89.4356
22 skewed,240,442,60.548607,-0.779502,29.435301
22 skewed,270,450,0.23736,-0.036552,86.644493
22 skewed,300,458,0.071895,59.682926,-30.315193
22 skewed,330,465,-0.766143,-59.729385,-30.266575
22 skewed,360,470,0.234108,-0.726141,89.23999
