Orientation,Deg,Reading ID,X,Y,Z
Skewed,360,1528,1.274469,-1.021948,88.361801
Skewed,330,1520,-7.360765,-29.532032,59.384926
Skewed,300,1514,-14.126849,-56.612949,29.553459
Skewed,270,1504,-17.171417,-72.837456,-0.294983
Skewed,240,1495,-15.535555,-55.288174,-30.173363
Skewed,210,1488,-9.748649,-28.042021,-60.027145
Skewed,180,1478,-1.481133,0.423885,-88.465546
Skewed,150,1470,7.16153,28.901857,-60.057877
Skewed,120,1461,14.007727,56.177448,-30.08013
Skewed,90,1455,17.132189,72.858467,0.056426
Skewed,60,1445,15.494364,55.203987,30.274611
Skewed,30,1437,9.619831,27.649328,60.44302
Skewed,0,1425,1.267163,-1.020663,88.368736
