UID,VBAT,DID,Y,M,D,H,M,S,X,Y,Z,T,CHECKSUM
1000101019,4336,0,2019,11,13,12,33,0,-0.274900,-88.655350,-1.323193,17.800000,185
1000101019,4342,1,2019,11,13,12,32,58,-0.274944,-88.656288,-1.321491,18.000000,50
1000101019,4340,2,2019,11,13,12,33,0,-0.274054,-88.588928,-1.255979,18.100000,74
1000101019,4337,3,2019,11,13,12,34,0,-0.275449,-88.653595,-1.321908,17.800000,106
1000101019,4343,4,2019,11,13,12,34,3,-0.273944,-88.655983,-1.318359,18.000000,39
1000101019,4348,5,2019,11,13,12,34,6,-0.275032,-88.657326,-1.321919,18.100000,53
1000101019,4351,6,2019,11,13,12,34,10,-0.270956,-88.658401,-1.319623,18.100000,147
1000101019,4355,7,2019,11,13,12,34,13,-0.273757,-88.659737,-1.319963,18.100000,142
1000101019,4361,8,2019,11,13,12,34,17,-0.274548,-88.657951,-1.319491,18.200000,199
1000101019,4368,9,2019,11,13,12,34,21,-0.271714,-88.653542,-1.317063,18.200000,96
1000101019,4374,10,2019,11,13,12,34,25,-0.270011,-88.654945,-1.319502,18.200000,240
1000101019,4380,11,2019,11,13,12,34,28,-0.272725,-88.657486,-1.319590,18.200000,203
1000101019,4386,12,2019,11,13,12,34,32,-0.273164,-88.659317,-1.321688,18.200000,165
1000101019,4393,13,2019,11,13,12,34,36,-0.275614,-88.655159,-1.319480,18.200000,148
1000101019,4399,14,2019,11,13,12,34,40,-0.271879,-88.656219,-1.317338,18.200000,153
1000101019,4405,15,2019,11,13,12,34,44,-0.276042,-88.656502,-1.320007,18.200000,22
1000101019,4411,16,2019,11,13,12,34,48,-0.272011,-88.654846,-1.324017,18.200000,21
1000101019,4421,17,2019,11,13,12,34,51,-0.272889,-88.657280,-1.322600,18.200000,57
1000101019,4427,18,2019,11,13,12,34,55,-0.271736,-88.657265,-1.320183,18.200000,240
1000101019,4433,19,2019,11,13,12,34,59,-0.271263,-88.658150,-1.321941,18.200000,245
1000101019,4439,20,2019,11,13,12,35,3,-0.275339,-88.653976,-1.318656,18.300000,186
1000101019,4446,21,2019,11,13,12,35,7,-0.271395,-88.656578,-1.322347,18.200000,217
1000101019,4454,22,2019,11,13,12,35,10,-0.275164,-88.657257,-1.317810,18.200000,124
1000101019,4460,23,2019,11,13,12,35,14,-0.272560,-88.657379,-1.321018,18.200000,102
1000101019,4467,24,2019,11,13,12,35,18,-0.272417,-88.659843,-1.321161,18.300000,202
1000101019,4473,25,2019,11,13,12,35,22,-0.270890,-88.660576,-1.318425,18.300000,250
1000101019,4477,26,2019,11,13,12,35,26,-0.274779,-88.657272,-1.320743,18.300000,97
1000101019,4484,27,2019,11,13,12,35,30,-0.276438,-88.654320,-1.321117,18.200000,233
1000101019,4489,28,2019,11,13,12,35,33,-0.276548,-88.658173,-1.318140,18.200000,246
1000101019,4493,29,2019,11,13,12,35,37,-0.272538,-88.658661,-1.318008,18.300000,44
1000101019,4499,30,2019,11,13,12,35,41,-0.272538,-88.657326,-1.321139,18.300000,76
1000101019,4505,31,2019,11,13,12,35,45,-0.273812,-88.653534,-1.319886,18.300000,13
1000101019,4508,32,2019,11,13,12,35,49,-0.275010,-88.656319,-1.322402,18.200000,147
1000101019,4513,33,2019,11,13,12,35,52,-0.274318,-88.657845,-1.323073,18.300000,146
1000101019,4517,34,2019,11,13,12,35,56,-0.272274,-88.658493,-1.321161,18.300000,88
1000101019,4520,35,2019,11,13,12,36,0,-0.273724,-88.661316,-1.322435,18.300000,144
1000101019,4525,36,2019,11,13,12,36,4,-0.270956,-88.659073,-1.321040,18.300000,206
1000101019,4528,37,2019,11,13,12,36,8,-0.270341,-88.656029,-1.321392,18.300000,146
1000101019,4531,38,2019,11,13,12,36,12,-0.272329,-88.655663,-1.323435,18.300000,36
1000101019,4534,39,2019,11,13,12,36,15,-0.272758,-88.658661,-1.321216,18.300000,144
1000101019,4537,40,2019,11,13,12,36,19,-0.274570,-88.657898,-1.321963,18.300000,99
1000101019,4539,41,2019,11,13,12,36,23,-0.276482,-88.660545,-1.320524,18.300000,46
1000101019,4543,42,2019,11,13,12,36,27,-0.486881,-0.736172,89.254700,18.300000,38
1000101019,4545,43,2019,11,13,12,36,31,0.112830,-0.736567,89.256218,18.300000,2
1000101019,4549,44,2019,11,13,12,36,35,0.111533,-0.736260,89.255447,18.300000,203
1000101019,4557,45,2019,11,13,12,36,41,0.110072,-0.733304,89.255157,18.300000,198
1000101019,4558,46,2019,11,13,12,36,44,0.111313,-0.736172,89.254410,18.300000,78
1000101019,4560,47,2019,11,13,12,36,48,0.109973,-0.734766,89.257088,18.300000,145
1000101019,4561,48,2019,11,13,12,36,51,0.112939,-0.736853,89.252640,18.400000,25
1000101019,4569,49,2019,11,13,12,36,55,0.110446,-0.735018,89.253380,18.300000,192
1000101019,4566,50,2019,11,13,12,36,58,0.110852,-0.736820,89.255341,18.400000,76
1000101019,4566,51,2019,11,13,12,37,0,0.109380,-0.736062,89.255577,18.400000,131
1000101019,4566,52,2019,11,13,12,37,2,0.115345,-0.738743,89.254913,18.400000,156
1000101019,4566,53,2019,11,13,12,37,5,0.111182,-0.737413,89.254868,18.400000,18
1000101019,4566,54,2019,11,13,12,37,7,0.111852,-0.738995,89.253387,18.400000,243
1000101019,4563,55,2019,11,13,12,37,10,0.111841,-0.736644,89.253960,18.400000,208
1000101019,4566,56,2019,11,13,12,37,12,0.110259,-0.738347,89.254837,18.400000,140
1000101019,4566,57,2019,11,13,12,37,14,0.108984,-0.736644,89.255157,18.400000,135
1000101019,4566,58,2019,11,13,12,37,17,0.109391,-0.736194,89.253677,18.400000,211
1000101019,4567,59,2019,11,13,12,37,19,0.112972,-0.738270,89.253670,18.400000,54
1000101019,4539,60,2019,11,13,12,37,23,0.108951,-0.739775,89.251709,18.400000,221
1000101019,4564,61,2019,11,13,12,37,26,0.108062,-0.739611,89.252876,18.400000,63
1000101019,4564,62,2019,11,13,12,37,28,0.105645,-0.739611,89.253571,18.400000,244
1000101019,4564,63,2019,11,13,12,37,31,0.109841,-0.741423,89.253616,18.400000,83
1000101019,4564,64,2019,11,13,12,37,33,0.108776,-0.738589,89.251869,18.400000,151
1000101019,4564,65,2019,11,13,12,37,35,0.109292,-0.741160,89.252052,18.500000,225
1000101019,4566,66,2019,11,13,12,37,38,0.109611,-0.738929,89.253311,18.400000,124
1000101019,4564,67,2019,11,13,12,37,40,0.104722,-0.741061,89.253105,18.400000,120
1000101019,4566,68,2019,11,13,12,37,43,0.109611,-0.738820,89.251503,18.400000,59
1000101019,4566,69,2019,11,13,12,37,45,0.106150,-0.738798,89.250977,18.400000,89
1000101019,4566,70,2019,11,13,12,37,47,0.105535,-0.738798,89.253716,18.400000,232
1000101019,4566,71,2019,11,13,12,37,50,0.110061,-0.739819,89.253342,18.500000,166
1000101019,4566,72,2019,11,13,12,37,52,0.112928,-0.738435,89.253296,18.500000,156
1000101019,4567,73,2019,11,13,12,37,55,0.111676,-0.738765,89.252373,18.400000,40
1000101019,4566,74,2019,11,13,12,37,57,0.106249,-0.738336,89.253738,18.500000,83
1000101019,4566,75,2019,11,13,12,37,59,0.104524,-0.739424,89.253044,18.400000,211
1000101019,4567,76,2019,11,13,12,38,2,0.108314,-0.736381,89.252663,18.400000,222
1000101019,4566,77,2019,11,13,12,38,4,0.109160,-0.737666,89.252922,18.500000,165
1000101019,4567,78,2019,11,13,12,38,6,0.109874,-0.737391,89.254242,18.500000,204
1000101019,4567,79,2019,11,13,12,38,9,0.107941,-0.740281,89.252762,18.500000,142
1000101019,4569,80,2019,11,13,12,38,11,0.109391,-0.741017,89.253105,18.500000,101
1000101019,4569,81,2019,11,13,12,38,14,0.108688,-0.738688,89.252731,18.500000,136
1000101019,4567,82,2019,11,13,12,38,16,0.109248,-0.738820,89.253510,18.500000,16
1000101019,4567,83,2019,11,13,12,38,18,0.108995,-0.738314,89.250954,18.500000,225
1000101019,4566,84,2019,11,13,12,38,21,0.110577,-0.739446,89.250145,18.500000,88
1000101019,4569,85,2019,11,13,12,38,23,0.110797,-0.737128,89.254433,18.500000,174
1000101019,4569,86,2019,11,13,12,38,26,0.111940,-0.739984,89.253105,18.500000,199
1000101019,4569,87,2019,11,13,12,38,28,0.110028,-0.737644,89.252968,18.500000,29
1000101019,4567,88,2019,11,13,12,38,30,0.109237,-0.739248,89.252670,18.500000,91
1000101019,4570,89,2019,11,13,12,38,33,0.107589,-0.739116,89.253380,18.500000,131
1000101019,4567,90,2019,11,13,12,38,35,0.108391,-0.738127,89.253662,18.500000,111
1000101019,4567,91,2019,11,13,12,38,38,0.109017,-0.739006,89.253029,18.600000,95
1000101019,4569,92,2019,11,13,12,38,40,0.106732,-0.736963,89.250183,18.500000,157
1000101019,4569,93,2019,11,13,12,38,42,0.108468,-0.738369,89.253838,18.500000,47
1000101019,4569,94,2019,11,13,12,38,45,0.107468,-0.737963,89.255455,18.500000,48
1000101019,4570,95,2019,11,13,12,38,47,0.109501,-0.738248,89.252060,18.500000,243
1000101019,4569,96,2019,11,13,12,38,49,0.111138,-0.738787,89.251305,18.500000,123
1000101019,4569,97,2019,11,13,12,38,52,0.105864,-0.739490,89.253456,18.500000,79
1000101019,4569,98,2019,11,13,12,38,54,0.109753,-0.740588,89.254135,18.500000,69
1000101019,4569,99,2019,11,13,12,38,57,0.109929,-0.738095,89.252800,18.600000,163
1000101019,4569,100,2019,11,13,12,38,59,0.107303,-0.739600,89.253960,18.500000,117
1000101019,4570,101,2019,11,13,12,39,1,0.110533,-0.737754,89.251724,18.500000,33
1000101019,4570,102,2019,11,13,12,39,4,0.110292,-0.738918,89.253975,18.600000,206
1000101019,4570,103,2019,11,13,12,39,6,0.110105,-0.738303,89.253868,18.500000,39
1000101019,4570,104,2019,11,13,12,39,9,0.106216,-0.739523,89.255096,18.500000,233
1000101019,4570,105,2019,11,13,12,39,11,0.109270,-0.736545,89.254074,18.500000,206
1000101019,4570,106,2019,11,13,12,39,13,0.106106,-0.739061,89.253159,18.500000,188
1000101019,4572,107,2019,11,13,12,39,16,0.111149,-0.736370,89.252731,18.500000,100
1000101019,4570,108,2019,11,13,12,39,18,0.110786,-0.738402,89.251602,18.500000,122
1000101019,4572,109,2019,11,13,12,39,21,0.106315,-0.737282,89.252159,18.500000,172
1000101019,4572,110,2019,11,13,12,39,23,0.109523,-0.738743,89.254364,18.500000,85
1000101019,4570,111,2019,11,13,12,39,25,0.106743,-0.738237,89.253372,18.500000,170
1000101019,4569,112,2019,11,13,12,39,28,0.108567,-0.738325,89.250496,18.500000,242
1000101019,4572,113,2019,11,13,12,39,30,0.106545,-0.739512,89.253349,18.500000,85
1000101019,4569,114,2019,11,13,12,39,32,0.107534,-0.736908,89.252541,18.500000,86
1000101019,4572,115,2019,11,13,12,39,35,0.107468,-0.739402,89.253563,18.500000,193
1000101019,4570,116,2019,11,13,12,39,37,0.107501,-0.737666,89.251869,18.500000,88
1000101019,4572,117,2019,11,13,12,39,40,0.107919,-0.740676,89.254623,18.600000,39
1000101019,4572,118,2019,11,13,12,39,42,0.108809,-0.738040,89.252419,18.600000,85
1000101019,4572,119,2019,11,13,12,39,44,0.109545,-0.739633,89.254311,18.600000,27
1000101019,4570,120,2019,11,13,12,39,47,0.108171,-0.738644,89.252823,18.500000,184
1000101019,4572,121,2019,11,13,12,39,49,0.108864,-0.738457,89.252792,18.500000,190
1000101019,4570,122,2019,11,13,12,39,52,0.108149,-0.738567,89.252037,18.600000,215
1000101019,4572,123,2019,11,13,12,39,54,0.109940,-0.737205,89.252602,18.600000,165
1000101019,4572,124,2019,11,13,12,39,56,0.104337,-0.739380,89.253319,18.600000,147
1000101019,4572,125,2019,11,13,12,39,59,0.106161,-0.737853,89.255585,18.600000,42
1000101019,4572,126,2019,11,13,12,40,1,0.109424,-0.739567,89.251373,18.600000,32
1000101019,4570,127,2019,11,13,12,40,3,0.108710,-0.739358,89.254242,18.500000,49
1000101019,4572,128,2019,11,13,12,40,6,0.107996,-0.738424,89.255486,18.600000,195
1000101019,4572,129,2019,11,13,12,40,8,0.108424,-0.738732,89.252869,18.500000,40
1000101019,4572,130,2019,11,13,12,40,11,0.109973,-0.737842,89.253632,18.500000,37
1000101019,4569,131,2019,11,13,12,40,13,0.107534,-0.739973,89.253883,18.600000,30
1000101019,4572,132,2019,11,13,12,40,15,0.107710,-0.738314,89.254295,18.600000,49
1000101019,4572,133,2019,11,13,12,40,19,0.107809,-0.737633,89.253792,18.600000,33
1000101019,4572,134,2019,11,13,12,40,22,0.111511,-0.737853,89.254745,18.600000,151
1000101019,4570,135,2019,11,13,12,40,26,0.107380,-0.738380,89.253548,18.500000,216
1000101019,4572,136,2019,11,13,12,40,29,0.106556,-0.736490,89.252800,18.600000,232
1000101019,4572,137,2019,11,13,12,40,33,0.109863,-0.737446,89.256203,18.600000,6
1000101019,4573,138,2019,11,13,12,40,37,0.109512,-0.737271,89.255791,18.500000,207
1000101019,4575,139,2019,11,13,12,40,40,0.106249,-0.736820,89.253128,18.600000,241
1000101019,4575,140,2019,11,13,12,40,42,0.108512,-0.736688,89.253838,18.600000,222
1000101019,4575,141,2019,11,13,12,40,44,0.108094,-0.737051,89.253929,18.600000,169
