Orientation,Deg,Reading ID,X,Y,Z
High Precision,0.000,1622,0.103612,-0.923357,89.072769
High Precision,0.003,1626,0.106512,-0.918237,89.074944
High Precision,0.006,1632,0.10459,-0.913645,89.078468
High Precision,0.008,1635,0.10392,-0.911635,89.080544
High Precision,0.011,1638,0.104854,-0.909031,89.084946
High Precision,0.014,1640,0.100701,-0.911239,89.085358
High Precision,0.017,1645,0.106095,-0.904197,89.090157
High Precision,0.019,1651,0.104623,-0.902802,89.092804
High Precision,0.022,1655,0.104238,-0.900165,89.092171
High Precision,0.025,1659,0.104447,-0.896495,89.09697
High Precision,0.028,1664,0.102008,-0.893793,89.098373
High Precision,0.031,1668,0.103228,-0.892057,89.104057
High Precision,0.033,1671,0.104315,-0.887706,89.104942
High Precision,0.036,1675,0.101536,-0.885103,89.107689
High Precision,0.039,1678,0.10582,-0.883773,89.110947
High Precision,0.042,1681,0.104854,-0.880653,89.113892
High Precision,0.044,1684,0.104271,-0.875544,89.116089
High Precision,0.047,1690,0.101184,-0.872281,89.122269
High Precision,0.050,1693,0.099767,-0.869996,89.122284
High Precision,0.053,1698,0.101404,-0.869897,89.123932
High Precision,0.056,1703,0.103689,-0.865745,89.129959
High Precision,0.058,1706,0.103348,-0.864437,89.132538
High Precision,0.061,1709,0.102612,-0.859504,89.13266
High Precision,0.064,1712,0.101393,-0.855879,89.134491
High Precision,0.067,1716,0.10593,-0.85556,89.139297
High Precision,0.069,1720,0.101711,-0.852748,89.139359
High Precision,0.072,1724,0.104249,-0.84988,89.144455
High Precision,0.075,1727,0.105513,-0.847793,89.145691
High Precision,0.078,1730,0.106842,-0.843014,89.149048
High Precision,0.081,1733,0.102678,-0.838553,89.152359
High Precision,0.083,1736,0.102513,-0.838685,89.160706
