Orientation,Deg,Reading ID,X,Y,Z
A into Plate,0,269,0.113379,-0.783929,89.206856
A into Plate,30,286,-29.991766,-0.732887,59.998375
A into Plate,60,305,-60.080803,-0.564829,29.91403
A into Plate,90,325,-89.65921,-0.32837,-0.118938
A into Plate,120,349,-59.992241,-0.086792,-30.015268
A into Plate,150,370,-30.186968,0.09913,-59.820175
A into Plate,180,397,-0.300278,0.172222,-89.650734
A into Plate,210,422,29.707932,0.122783,-60.289593
A into Plate,240,444,59.79174,-0.045088,-30.211637
A into Plate,270,465,89.689095,-0.277361,-0.13856
A into Plate,300,488,60.126236,-0.520664,29.85791
A into Plate,330,509,30.157328,-0.703641,59.826939
A into Plate,360,535,0.115082,-0.777601,89.210945
A into Plate Return,360,555,0.113137,-0.779282,89.210968
A into Plate Return,330,567,30.151791,-0.701466,59.838894
A into Plate Return,300,577,60.124203,-0.518895,29.863211
A into Plate Return,270,586,89.698875,-0.277932,-0.136055
A into Plate Return,240,599,59.790264,-0.044648,-30.209616
A into Plate Return,210,608,29.708858,0.121432,-60.290512
A into Plate Return,180,616,-0.309661,0.174045,-89.649376
A into Plate Return,150,625,-30.185089,0.102008,-59.821728
A into Plate Return,120,632,-59.982868,-0.080266,-30.018225
A into Plate Return,90,644,-89.660034,-0.32558,-0.118125
A into Plate Return,60,652,-60.077564,-0.559775,29.914175
A into Plate Return,30,661,-29.986525,-0.728558,60.000671
A into Plate Return,0,672,0.119498,-0.778568,89.213997
