Orientation,Deg,Reading ID,X,Y,Z
A parallel to plate,0,758,0.077816,-0.752289,89.243843
A parallel to plate,30,786,0.098152,29.373865,60.621037
A parallel to plate,60,807,0.059755,59.59399,30.394365
A parallel to plate,90,829,-0.020182,89.846321,0.14636
A parallel to plate,120,848,-0.118773,60.013706,-29.987637
A parallel to plate,150,869,-0.205411,30.0553,-59.94482
A parallel to plate,180,897,-0.271813,0.142657,-89.696915
A parallel to plate,210,919,-0.297334,-29.775688,-60.230019
A parallel to plate,240,938,-0.275999,-59.686661,-30.314297
A parallel to plate,270,959,-0.20718,-89.564346,-0.39119
A parallel to plate,300,979,-0.102448,-60.526474,29.472141
A parallel to plate,330,998,0.001505,-30.705153,59.295788
A parallel to plate,360,1021,0.0802,-0.752673,89.244934
A Parallel Return,360,1256,0.080848,-0.74874,89.2463
A Parallel Return,330,1266,0.004647,-30.703587,59.296135
A Parallel Return,300,1283,-0.102272,-60.527954,29.473177
A Parallel Return,270,1297,-0.203687,-89.566055,-0.386049
A Parallel Return,240,1308,-0.278844,-59.689625,-30.317064
A Parallel Return,210,1316,-0.294247,-29.773724,-60.227348
A Parallel Return,180,1329,-0.271241,0.144196,-89.699539
A Parallel Return,150,1337,-0.20618,30.05846,-59.9436
A Parallel Return,120,1355,-0.119498,60.017139,-29.980995
A Parallel Return,90,1364,-0.020841,89.845116,0.147898
A Parallel Return,60,1371,0.061941,59.594353,30.398195
A Parallel Return,30,1379,0.098855,29.373981,60.618824
A Parallel Return,0,1386,0.080288,-0.749663,89.246857
