Orientation,Deg,Reading ID,X,Y,Z
A into Plate Return,360,555,0.113137,-0.779282,89.210968
A into Plate Return,330,567,30.151791,-0.701466,59.838894
A into Plate Return,300,577,60.124203,-0.518895,29.863211
A into Plate Return,270,586,89.698875,-0.277932,-0.136055
A into Plate Return,240,599,59.790264,-0.044648,-30.209616
A into Plate Return,210,608,29.708858,0.121432,-60.290512
A into Plate Return,180,616,-0.309661,0.174045,-89.649376
A into Plate Return,150,625,-30.185089,0.102008,-59.821728
A into Plate Return,120,632,-59.982868,-0.080266,-30.018225
A into Plate Return,90,644,-89.660034,-0.32558,-0.118125
A into Plate Return,60,652,-60.077564,-0.559775,29.914175
A into Plate Return,30,661,-29.986525,-0.728558,60.000671
A into Plate Return,0,672,0.119498,-0.778568,89.213997
